stars,comment
5.0 out of 5 stars,"







  
  
    Amazing
  
"
5.0 out of 5 stars,"







  
  
    Loved this theme... Easy to handle for little hands. Pictures are good.
  
"
4.0 out of 5 stars,"







  
  
    Usefull for kids
  
"
5.0 out of 5 stars,"







  
  
    Apt for my 3 yr old son.. very durable.
  
"
5.0 out of 5 stars,"







  
  
    Kid is very happy & her mom says product is excellent!❤️
  
"
4.0 out of 5 stars,"







  
  
    Good product.  nice
  
"
5.0 out of 5 stars,"







  
  
    Good books for baby. My baby just 2/6 yr and she loved the books. Easy to carry.i like it to. Value for money.👍🙂 Go for it.
  
"
5.0 out of 5 stars,"







  
  
    Easy to store and money worth books for children.
  
"
3.0 out of 5 stars,"







  
  
    Ok
  
"
5.0 out of 5 stars,"







  
  
    My 16 month baby girl enjoying it.
  
"
5.0 out of 5 stars,"







  
  
    It's a well-thought-out product.
  
"
3.0 out of 5 stars,"







  
  
    Pages are not hard enough. They got wrinkled real quick. Not at all durable. And some contents are bit difficult to understand for kids. Could have been easy. Don't buy.
  
"
4.0 out of 5 stars,"







  
  
    Love this book. Baby too loves to learn through clear pictures.
  
"
5.0 out of 5 stars,"







  
  
    Size is so small but page quality is very good
  
"
4.0 out of 5 stars,"







  
  
    I bought the same thing 2 years back for my daughter and the product was very good compared to this. The quality has been reduced alot.
  
"
3.0 out of 5 stars,"







  
  
    small size
  
"
4.0 out of 5 stars,"







  
  
    Books look like good good very thick sheets 12leafs and vegetable book words like Chinese food style... Looks to small not except size
  
"
5.0 out of 5 stars,"







  
  
    Best to babies to learn
  
"
4.0 out of 5 stars,"







  
  
    Good for 1-3 year baby
  
"
4.0 out of 5 stars,"







  
  
    Useful for kids to learn fast .Good quality.
  
"
5.0 out of 5 stars,"







  
  
    It's very good n quality,👍
  
"
4.0 out of 5 stars,"







  
  
    Book is good but if kids turn the page back way it will b torn and to stick the page/card is difficult .. it doesn’t stick easily
  
"
5.0 out of 5 stars,"







  
  
    i like very much.
  
"
5.0 out of 5 stars,"







  
  
    My baby loves this. All books are small and in cute size. Beautiful colours and good quality. Loved it
  
"
4.0 out of 5 stars,"







  
  
    Expensive
  
"
4.0 out of 5 stars,"







  
  
    Product quality is excellent but small in size. it should be little bit larger.Packing and product quality is awesome.
  
"
5.0 out of 5 stars,"







  
  
    I like book
  
"
5.0 out of 5 stars,"







  
  
    Very nice product.  Very important for children.
  
"
5.0 out of 5 stars,"







  
  
    Our 8-month-old baby loves these books.
  
"
4.0 out of 5 stars,"







  
  
    A good product for kids
  
"
5.0 out of 5 stars,"







  
  
    Good quality sheets are used .very attractive pictures.high thickness paper used so easy to handle for children .my son loved it
  
"
5.0 out of 5 stars,"







  
  
    Every parent should have it .Not only my baby but my full family enjoyed the book .
  
"
4.0 out of 5 stars,"







  
  
    Bought for my one year old grandson, quite colourful with hard cover. There are 10 small books. Can be carried even  during travel to engage kids. But it would be better if pictures of things, familiar to kids are included. My grandson loved it..
  
"
5.0 out of 5 stars,"







  
  
    A love at first sight for gifting little ones. I always make sure to gift one of these lovely pictorial book sets to my cousins & nieces. It's been an all time favourite. Very engaging, informative & fun.
  
"
5.0 out of 5 stars,"







  
  
    Nice product
  
"
4.0 out of 5 stars,"







  
  
    Although they are board books still u need to handle them with careAlso it needs to be updated with some more Indian stuff like animals,fruitsGood for 18+months baby
  
"
4.0 out of 5 stars,"







  
  
    GOOD!! I WUD SUGGEST YOU TO BUY.
  
"
5.0 out of 5 stars,"







  
  
    Upto the price after discount... Pages are good.. size is small .. pocket size
  
"
5.0 out of 5 stars,"







  
  
    It's worth it
  
"
3.0 out of 5 stars,"







  
  
    I wanted books for my grandchildren and found these to be small in size.
  
"
4.0 out of 5 stars,"







  
  
    I would have given 5 stars if the size is little bit more.
  
"
5.0 out of 5 stars,"







  
  
    Good product, helpful
  
"
5.0 out of 5 stars,"







  
  
    Really useful & of very good quality .. bought this for my one year old kid .. absolutely amazing
  
"
5.0 out of 5 stars,"







  
  
    Very good product my niece liked it very much
  
"
4.0 out of 5 stars,"







  
  
    The size was small than expected but it's worth buying.
  
"
3.0 out of 5 stars,"







  
  
    Like very small better gve big all in one than you
  
"
5.0 out of 5 stars,"







  
  
    A really good thing to buy for the growing kids.
  
"
5.0 out of 5 stars,"


















    
        

        
        
            
        

        
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     It's very useful for my child
  
"
3.0 out of 5 stars,"







  
  
    It is too tiny and binding is not as such strong
  
"
5.0 out of 5 stars,"







  
  
    I like this  books😊
  
"
5.0 out of 5 stars,"







  
  
    Very good quality worth of money
  
"
5.0 out of 5 stars,"







  
  
    Worth the money..and good.
  
"
5.0 out of 5 stars,"







  
  
    Really my daughter enjoying with this library
  
"
5.0 out of 5 stars,"







  
  
    I have bought this set for my 1.5 yr old. Though its size is bit Small but it is perfect and comfortable for those little hands to handle.
  
"
4.0 out of 5 stars,"







  
  
    Good books for baby
  
"
